2026-04-18 18:22:07,520 | INFO     | ui.sensor_model | SensorListModel refreshed: 0 sensors
2026-04-18 18:22:14,750 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 18:23:13,712 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 18:27:46,320 | INFO     | datalogger | ============================================================
2026-04-18 18:27:46,320 | INFO     | datalogger | Data Logger — Khởi động
2026-04-18 18:27:46,320 | INFO     | datalogger | ============================================================
2026-04-18 18:27:46,321 | INFO     | datalogger | Database initialized.
2026-04-18 18:27:46,355 | INFO     | ui.settings_controller | AppConfig loaded (id=1)
2026-04-18 18:27:46,358 | INFO     | datalogger | Loading QML: /home/haiquy/Documents/data-logger/ui/qml/Main.qml
2026-04-18 18:27:46,427 | INFO     | datalogger | QML loaded thành công. App đang chạy.
2026-04-18 18:27:48,414 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 18:27:49,135 | INFO     | ui.sensor_model | SensorListModel refreshed: 0 sensors
2026-04-18 18:27:52,372 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 18:29:17,413 | INFO     | datalogger | ============================================================
2026-04-18 18:29:17,413 | INFO     | datalogger | Data Logger — Khởi động
2026-04-18 18:29:17,413 | INFO     | datalogger | ============================================================
2026-04-18 18:29:17,415 | INFO     | datalogger | Database initialized.
2026-04-18 18:29:17,452 | INFO     | ui.settings_controller | AppConfig loaded (id=1)
2026-04-18 18:29:17,456 | INFO     | datalogger | Loading QML: /home/haiquy/Documents/data-logger/ui/qml/Main.qml
2026-04-18 18:29:17,531 | INFO     | datalogger | QML loaded thành công. App đang chạy.
2026-04-18 18:35:08,461 | INFO     | datalogger | ============================================================
2026-04-18 18:35:08,461 | INFO     | datalogger | Data Logger — Khởi động
2026-04-18 18:35:08,461 | INFO     | datalogger | ============================================================
2026-04-18 18:35:08,463 | INFO     | datalogger | Database initialized.
2026-04-18 18:35:08,500 | INFO     | ui.settings_controller | AppConfig loaded (id=1)
2026-04-18 18:35:08,503 | INFO     | datalogger | Loading QML: /home/haiquy/Documents/data-logger/ui/qml/Main.qml
2026-04-18 18:35:08,584 | INFO     | datalogger | QML loaded thành công. App đang chạy.
2026-04-18 18:35:10,241 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 18:35:13,811 | INFO     | ui.sensor_model | SensorListModel refreshed: 0 sensors
2026-04-18 18:36:47,390 | INFO     | datalogger | ============================================================
2026-04-18 18:36:47,391 | INFO     | datalogger | Data Logger — Khởi động
2026-04-18 18:36:47,391 | INFO     | datalogger | ============================================================
2026-04-18 18:36:47,393 | INFO     | datalogger | Database initialized.
2026-04-18 18:36:47,430 | INFO     | ui.settings_controller | AppConfig loaded (id=1)
2026-04-18 18:36:47,433 | INFO     | datalogger | Loading QML: /home/haiquy/Documents/data-logger/ui/qml/Main.qml
2026-04-18 18:36:47,510 | INFO     | datalogger | QML loaded thành công. App đang chạy.
2026-04-18 18:36:56,857 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 18:36:57,713 | INFO     | ui.sensor_model | SensorListModel refreshed: 0 sensors
2026-04-18 18:37:01,430 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 18:39:39,125 | INFO     | datalogger | ============================================================
2026-04-18 18:39:39,125 | INFO     | datalogger | Data Logger — Khởi động
2026-04-18 18:39:39,125 | INFO     | datalogger | ============================================================
2026-04-18 18:39:39,127 | INFO     | datalogger | Database initialized.
2026-04-18 18:39:39,161 | INFO     | ui.settings_controller | AppConfig loaded (id=1)
2026-04-18 18:39:39,163 | INFO     | datalogger | Loading QML: /home/haiquy/Documents/data-logger/ui/qml/Main.qml
2026-04-18 18:39:39,240 | INFO     | datalogger | QML loaded thành công. App đang chạy.
2026-04-18 18:39:45,694 | INFO     | ui.sensor_model | SensorListModel refreshed: 0 sensors
2026-04-18 18:39:46,526 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 18:39:49,717 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 18:39:58,455 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 18:40:33,009 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 18:40:36,382 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 19:08:41,595 | INFO     | datalogger | ============================================================
2026-04-18 19:08:41,595 | INFO     | datalogger | Data Logger — Khởi động
2026-04-18 19:08:41,595 | INFO     | datalogger | ============================================================
2026-04-18 19:08:41,597 | INFO     | datalogger | Database initialized.
2026-04-18 19:08:41,633 | INFO     | ui.settings_controller | AppConfig loaded (id=1)
2026-04-18 19:08:41,636 | INFO     | datalogger | Loading QML: /home/haiquy/Documents/data-logger/ui/qml/Main.qml
2026-04-18 19:08:41,711 | INFO     | datalogger | QML loaded thành công. App đang chạy.
2026-04-18 19:08:43,079 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 19:08:43,718 | INFO     | ui.sensor_model | SensorListModel refreshed: 0 sensors
2026-04-18 19:13:50,640 | INFO     | datalogger | ============================================================
2026-04-18 19:13:50,640 | INFO     | datalogger | Data Logger — Khởi động
2026-04-18 19:13:50,640 | INFO     | datalogger | ============================================================
2026-04-18 19:13:50,642 | INFO     | datalogger | Database initialized.
2026-04-18 19:13:50,668 | INFO     | ui.settings_controller | AppConfig loaded (id=1)
2026-04-18 19:13:50,671 | INFO     | datalogger | Loading QML: /home/haiquy/Documents/data-logger/ui/qml/Main.qml
2026-04-18 19:13:50,751 | INFO     | datalogger | QML loaded thành công. App đang chạy.
2026-04-18 19:14:25,362 | INFO     | datalogger | ============================================================
2026-04-18 19:14:25,362 | INFO     | datalogger | Data Logger — Khởi động
2026-04-18 19:14:25,362 | INFO     | datalogger | ============================================================
2026-04-18 19:14:25,364 | INFO     | datalogger | Database initialized.
2026-04-18 19:14:25,389 | INFO     | ui.settings_controller | AppConfig loaded (id=1)
2026-04-18 19:14:25,392 | INFO     | datalogger | Loading QML: /home/haiquy/Documents/data-logger/ui/qml/Main.qml
2026-04-18 19:14:25,444 | INFO     | datalogger | QML loaded thành công. App đang chạy.
2026-04-18 19:15:39,212 | INFO     | datalogger | ============================================================
2026-04-18 19:15:39,212 | INFO     | datalogger | Data Logger — Khởi động
2026-04-18 19:15:39,212 | INFO     | datalogger | ============================================================
2026-04-18 19:15:39,214 | INFO     | datalogger | Database initialized.
2026-04-18 19:15:39,239 | INFO     | ui.settings_controller | AppConfig loaded (id=1)
2026-04-18 19:15:39,241 | INFO     | datalogger | Loading QML: /home/haiquy/Documents/data-logger/ui/qml/Main.qml
2026-04-18 19:15:39,308 | INFO     | datalogger | QML loaded thành công. App đang chạy.
2026-04-18 19:16:11,205 | INFO     | datalogger | ============================================================
2026-04-18 19:16:11,205 | INFO     | datalogger | Data Logger — Khởi động
2026-04-18 19:16:11,205 | INFO     | datalogger | ============================================================
2026-04-18 19:16:11,207 | INFO     | datalogger | Database initialized.
2026-04-18 19:16:11,243 | INFO     | ui.settings_controller | AppConfig loaded (id=1)
2026-04-18 19:16:11,245 | INFO     | datalogger | Loading QML: /home/haiquy/Documents/data-logger/ui/qml/Main.qml
2026-04-18 19:16:11,322 | INFO     | datalogger | QML loaded thành công. App đang chạy.
2026-04-18 19:16:13,843 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 19:16:16,979 | INFO     | ui.sensor_model | SensorListModel refreshed: 0 sensors
2026-04-18 19:16:23,862 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 19:16:33,117 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 19:16:34,849 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 19:16:38,218 | ERROR    | pymodbus.logging | [Errno 13] could not open port /dev/ttyS0: [Errno 13] Permission denied: '/dev/ttyS0'
2026-04-18 19:16:38,218 | ERROR    | core.modbus | ❌ Failed to connect to /dev/ttyS0
2026-04-18 19:16:55,140 | INFO     | ui.settings_controller | AppConfig saved (id=1)
2026-04-18 19:17:18,536 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 20:52:32,810 | INFO     | datalogger | ============================================================
2026-04-18 20:52:32,810 | INFO     | datalogger | Data Logger — Khởi động
2026-04-18 20:52:32,810 | INFO     | datalogger | ============================================================
2026-04-18 20:52:32,815 | INFO     | datalogger | Database initialized.
2026-04-18 20:52:32,922 | INFO     | ui.settings_controller | AppConfig loaded (id=1)
2026-04-18 20:52:32,931 | INFO     | datalogger | Loading QML: /home/haiquy/Documents/data-logger/ui/qml/Main.qml
2026-04-18 20:52:33,160 | INFO     | ui.sensor_model | SensorListModel refreshed: 0 sensors
2026-04-18 20:52:33,162 | INFO     | datalogger | QML loaded thành công. App đang chạy.
